IEC prefix,IEC prefix,Representations,Representations,Representations,Representations
Name,Symbol,Base 2,Base 1024,Value,Base 10
kibi,Ki,210,10241,1024,= 1.024×103
mebi,Mi,220,10242,1048576,≈ 1.049×106
gibi,Gi,230,10243,1073741824,≈ 1.074×109
tebi,Ti,240,10244,1099511627776,≈ 1.100×1012
pebi,Pi,250,10245,1125899906842624,≈ 1.126×1015
exbi,Ei,260,10246,1152921504606846976,≈ 1.153×1018
zebi,Zi,270,10247,1180591620717411303424,≈ 1.181×1021
yobi,Yi,280,10248,1208925819614629174706176,≈ 1.209×1024
robi,Ri,290,10249,1237940039285380274899124224,≈ 1.238×1027
quebi,Qi,2100,102410,1267650600228229401496703205376,≈ 1.268×1030
