Prefix,Prefix,Binary ÷ Decimal,Binary ÷ Decimal,Decimal ÷ Binary,Decimal ÷ Binary
kilo,kibi,1.024  (+2.4%),,0.9766  (−2.3%),
mega,mebi,1.049  (+4.9%),,0.9537  (−4.6%),
giga,gibi,1.074  (+7.4%),,0.9313  (−6.9%),
tera,tebi,1.100 (+10.0%),,0.9095  (−9.1%),
peta,pebi,1.126 (+12.6%),,0.8882 (−11.2%),
exa,exbi,1.153 (+15.3%),,0.8674 (−13.3%),
zetta,zebi,1.181 (+18.1%),,0.8470 (−15.3%),
yotta,yobi,1.209 (+20.9%),,0.8272 (−17.3%),
ronna,robi,1.238 (+23.8%),,0.8078 (−19.2%),
quetta,quebi,1.268 (+26.8%),,0.7889 (−21.1%),
