Chip name,Capacity (bits),Flash type,FGMOS transistor count,Date of introduction,Manufacturer(s),Process,Area,"Transistor
density
(tr./mm2)",Ref
?,256 Kb,NOR,"262,144",1985,Toshiba,"2,000 nm",?,?,
?,1 Mb,NOR,"1,048,576",1989,"Seeq, Intel",?,?,?,
?,4 Mb,NAND,"4,194,304",1989,Toshiba,"1,000 nm",?,?,
?,16 Mb,NOR,"16,777,216",1991,Mitsubishi,600 nm,?,?,
DD28F032SA,32 Mb,NOR,"33,554,432",1993,Intel,?,280 mm2,"120,000",
?,64 Mb,NOR,"67,108,864",1994,NEC,400 nm,?,?,
?,64 Mb,NAND,"67,108,864",1996,Hitachi,400 nm,?,?,
?,128 Mb,NAND,"134,217,728",1996,"Samsung, Hitachi",?,?,?,
?,256 Mb,NAND,"268,435,456",1999,"Hitachi, Toshiba",250 nm,?,?,
?,512 Mb,NAND,"536,870,912",2000,Toshiba,?,?,?,
?,1 Gb,2-bit NAND,"536,870,912",2001,Samsung,?,?,?,
?,1 Gb,2-bit NAND,"536,870,912",2001,"Toshiba, SanDisk",160 nm,?,?,
?,2 Gb,NAND,"2,147,483,648",2002,"Samsung, Toshiba",?,?,?,
?,8 Gb,NAND,"8,589,934,592",2004,Samsung,60 nm,?,?,
?,16 Gb,NAND,"17,179,869,184",2005,Samsung,50 nm,?,?,
?,32 Gb,NAND,"34,359,738,368",2006,Samsung,40 nm,?,?,
THGAM,128 Gb,Stacked NAND,"128,000,000,000",April 2007,Toshiba,56 nm,252 mm2,"507,900,000",
THGBM,256 Gb,Stacked NAND,"256,000,000,000",2008,Toshiba,43 nm,353 mm2,"725,200,000",
THGBM2,1 Tb,Stacked 4-bit NAND,"256,000,000,000",2010,Toshiba,32 nm,374 mm2,"684,500,000",
KLMCG8GE4A,512 Gb,Stacked 2-bit NAND,"256,000,000,000",2011,Samsung,?,192 mm2,"1,333,000,000",
KLUFG8R1EM,4 Tb,Stacked 3-bit V-NAND,"1,365,333,333,504",2017,Samsung,?,150 mm2,"9,102,000,000",
eUFS (1 TB),8 Tb,Stacked 4-bit V-NAND,"2,048,000,000,000",2019,Samsung,?,150 mm2,"13,650,000,000",
?,1 Tb,232L TLC NAND die,"333,333,333,333",2022,Micron,?,"68.5 mm2
(memory array)","4,870,000,000
(14.6 Gbit/mm2)",
?,16 Tb,232L package,"5,333,333,333,333",2022,Micron,?,"68.5 mm2
(memory array)","77,900,000,000
(16×14.6 Gbit/mm2)",
