Function,Transistor count,Ref
NOT,2,
Buffer,4,
NAND 2-input,4,
NOR 2-input,4,
AND 2-input,6,
OR 2-input,6,
NAND 3-input,6,
NOR 3-input,6,
XOR 2-input,6,
XNOR 2-input,8,
MUX 2-input with TG,6,
MUX 4-input with TG,18,
NOT MUX 2-input,8,
MUX 4-input,24,
1-bit full adder,24,
1-bit adder–subtractor,48,
AND-OR-INVERT,6,
"Latch, D gated",8,
"Flip-flop, edge triggered dynamic D with reset",12,
8-bit multiplier,"3,000",
16-bit multiplier,"9,000",
32-bit multiplier,"21,000",[citation needed]
small-scale integration,2–100,
medium-scale integration,100–500,
large-scale integration,"500–20,000",
very-large-scale integration,"20,000–1,000,000",
ultra-large scale integration,">1,000,000",
