Processor,Transistor count,Year,Designer(s),Fab(s),Process,Area,"Transistor
density
(tr./mm2)",Ref
μPD7220 GDC,"40,000",1982,NEC,NEC,"5,000 nm",?,?,
ARTC HD63484,"60,000",1984,Hitachi,Hitachi,?,?,?,
CBM Agnus,"21,000",1985,Commodore,CSG,"5,000 nm",?,?,
YM7101 VDP,"100,000",1988,"Yamaha, Sega",Yamaha,?,?,?,
Tom & Jerry,"750,000",1993,Flare,IBM,?,?,?,
VDP1,"1,000,000",1994,Sega,Hitachi,500 nm,?,?,
Sony GPU,"1,000,000",1994,Toshiba,LSI,500 nm,?,?,
NV1,"1,000,000",1995,"Nvidia, Sega",SGS,500 nm,90 mm2,"11,000",
Reality Coprocessor,"2,600,000",1996,SGI,NEC,350 nm,81 mm2,"32,100",
PowerVR,"1,200,000",1996,VideoLogic,NEC,350 nm,?,?,
Voodoo Graphics,"1,000,000",1996,3dfx,TSMC,500 nm,?,?,
Voodoo Rush,"1,000,000",1997,3dfx,TSMC,500 nm,?,?,
NV3,"3,500,000",1997,Nvidia,"SGS, TSMC",350 nm,90 mm2,"38,900",
i740,"3,500,000",1998,"Intel, Real3D",Real3D,350 nm,?,?,
Voodoo 2,"4,000,000",1998,3dfx,TSMC,350 nm,?,?,
Voodoo Rush,"4,000,000",1998,3dfx,TSMC,350 nm,?,?,
NV4,"7,000,000",1998,Nvidia,TSMC,350 nm,90 mm2,"78,000",
PowerVR2 CLX2,"10,000,000",1998,VideoLogic,NEC,250 nm,116 mm2,"86,200",
PowerVR2 PMX1,"6,000,000",1999,VideoLogic,NEC,250 nm,?,?,
Rage 128,"8,000,000",1999,ATI,"TSMC, UMC",250 nm,70 mm2,"114,000",
Voodoo 3,"8,100,000",1999,3dfx,TSMC,250 nm,?,?,
Graphics Synthesizer,"43,000,000",1999,"Sony, Toshiba","Sony, Toshiba",180 nm,279 mm2,"154,000",
NV5,"15,000,000",1999,Nvidia,TSMC,250 nm,90 mm2,"167,000",
NV10,"17,000,000",1999,Nvidia,TSMC,220 nm,111 mm2,"153,000",
NV11,"20,000,000",2000,Nvidia,TSMC,180 nm,65 mm2,"308,000",
NV15,"25,000,000",2000,Nvidia,TSMC,180 nm,81 mm2,"309,000",
Voodoo 4,"14,000,000",2000,3dfx,TSMC,220 nm,?,?,
Voodoo 5,"28,000,000",2000,3dfx,TSMC,220 nm,?,?,
R100,"30,000,000",2000,ATI,TSMC,180 nm,97 mm2,"309,000",
Flipper,"51,000,000",2000,ArtX,NEC,180 nm,106 mm2,"481,000",
PowerVR3 KYRO,"14,000,000",2001,Imagination,ST,250 nm,?,?,
PowerVR3 KYRO II,"15,000,000",2001,Imagination,ST,180 nm,?,?,
NV2A,"60,000,000",2001,Nvidia,TSMC,150 nm,?,?,
NV20,"57,000,000",2001,Nvidia,TSMC,150 nm,128 mm2,"445,000",
NV25,"63,000,000",2002,Nvidia,TSMC,150 nm,142 mm2,"444,000",
