Node name,Transistor density (transistors/mm2),Production year,Process,MOSFET,Manufacturer(s),Ref
?,?,1960,"20,000 nm",PMOS,Bell Labs,
?,?,1960,"20,000 nm",NMOS,Bell Labs,
?,?,1963,?,CMOS,Fairchild,
?,?,1964,?,PMOS,General Microelectronics,
?,?,1968,"20,000 nm",CMOS,RCA,
?,?,1969,"12,000 nm",PMOS,Intel,
?,?,1970,"10,000 nm",CMOS,RCA,
?,300,1970,"8,000 nm",PMOS,Intel,
?,?,1971,"10,000 nm",PMOS,Intel,
?,480,1971,?,PMOS,General Instrument,
?,?,1973,?,NMOS,Texas Instruments,
?,220,1973,?,NMOS,Mostek,
?,?,1973,"7,500 nm",NMOS,NEC,
?,?,1973,"6,000 nm",PMOS,Toshiba,
?,?,1976,"5,000 nm",NMOS,"Hitachi, Intel",
?,?,1976,"5,000 nm",CMOS,RCA,
?,?,1976,"4,000 nm",NMOS,Zilog,
?,?,1976,"3,000 nm",NMOS,Intel,
?,"1,850",1977,?,NMOS,NTT,
?,?,1978,"3,000 nm",CMOS,Hitachi,
?,?,1978,"2,500 nm",NMOS,Texas Instruments,
?,?,1978,"2,000 nm",NMOS,"NEC, NTT",
?,"2,600",1979,?,VMOS,Siemens,
?,"7,280",1979,"1,000 nm",NMOS,NTT,
?,"7,620",1980,"1,000 nm",NMOS,NTT,
?,?,1983,"2,000 nm",CMOS,Toshiba,
?,?,1983,"1,500 nm",CMOS,Intel,
?,?,1983,"1,200 nm",CMOS,Intel,
?,?,1984,800 nm,CMOS,NTT,
?,?,1987,700 nm,CMOS,Fujitsu,
?,?,1989,600 nm,CMOS,"Mitsubishi, NEC, Toshiba",
?,?,1989,500 nm,CMOS,"Hitachi, Mitsubishi, NEC, Toshiba",
?,?,1991,400 nm,CMOS,"Matsushita, Mitsubishi, Fujitsu, Toshiba",
?,?,1993,350 nm,CMOS,Sony,
?,?,1993,250 nm,CMOS,"Hitachi, NEC",
3LM,"32,000",1994,350 nm,CMOS,NEC,
?,?,1995,160 nm,CMOS,Hitachi,
?,?,1996,150 nm,CMOS,Mitsubishi,
TSMC 180 nm,?,1998,180 nm,CMOS,TSMC,
CS80,?,1999,180 nm,CMOS,Fujitsu,
?,?,1999,180 nm,CMOS,"Intel, Sony, Toshiba",
CS85,?,1999,170 nm,CMOS,Fujitsu,
Samsung 140 nm,?,1999,140 nm,CMOS,Samsung,
?,?,2001,130 nm,CMOS,"Fujitsu, Intel",
