Chip name,Capacity (bits),ROM type,Transistor count,Date of introduction,Manufacturer(s),Process,Area,Ref
?,?,PROM,?,1956,Arma,—,?,
?,1 Kb,ROM (MOS),"1,024",1965,General Microelectronics,?,?,
3301,1 Kb,ROM (bipolar),"1,024",1969,Intel,—,?,
1702,2 Kb,EPROM (MOS),"2,048",1971,Intel,?,15 mm2,
?,4 Kb,ROM (MOS),"4,096",1974,"AMD, General Instrument",?,?,
2708,8 Kb,EPROM (MOS),"8,192",1975,Intel,?,?,
?,2 Kb,EEPROM (MOS),"2,048",1976,Toshiba,?,?,
μCOM-43 ROM,16 Kb,PROM (PMOS),"16,000",1977,NEC,?,?,
2716,16 Kb,EPROM (TTL),"16,384",1977,Intel,—,?,
EA8316F,16 Kb,ROM (NMOS),"16,384",1978,Electronic Arrays,?,436 mm2,
2732,32 Kb,EPROM,"32,768",1978,Intel,?,?,
2364,64 Kb,ROM,"65,536",1978,Intel,?,?,
2764,64 Kb,EPROM,"65,536",1981,Intel,"3,500 nm",?,
27128,128 Kb,EPROM,"131,072",1982,Intel,?,?,
27256,256 Kb,EPROM (HMOS),"262,144",1983,Intel,?,?,
?,256 Kb,EPROM (CMOS),"262,144",1983,Fujitsu,?,?,
?,512 Kb,EPROM (NMOS),"524,288",1984,AMD,"1,700 nm",?,
27512,512 Kb,EPROM (HMOS),"524,288",1984,Intel,?,?,
?,1 Mb,EPROM (CMOS),"1,048,576",1984,NEC,"1,200 nm",?,
?,4 Mb,EPROM (CMOS),"4,194,304",1987,Toshiba,800 nm,?,
?,16 Mb,EPROM (CMOS),"16,777,216",1990,NEC,600 nm,?,
?,16 Mb,MROM,"16,777,216",1995,"AKM, Hitachi",?,?,
