Chip name,Capacity (bits),RAM type,Transistor count,Date of introduction,Manufacturer(s),Process,Area,"Transistor
density
(tr./mm2)",Ref
—,1-bit,SRAM (cell),6,1963,Fairchild,—,—,?,
—,1-bit,DRAM (cell),1,1965,Toshiba,—,—,?,
?,8-bit,SRAM (bipolar),48,1965,"SDS, Signetics",?,?,?,
SP95,16-bit,SRAM (bipolar),80,1965,IBM,?,?,?,
TMC3162,16-bit,SRAM (TTL),96,1966,Transitron,—,?,?,
?,?,SRAM (MOS),?,1966,NEC,?,?,?,
?,256-bit,DRAM (IC),256,1968,Fairchild,?,?,?,
?,64-bit,SRAM (PMOS),384,1968,Fairchild,?,?,?,
?,144-bit,SRAM (NMOS),864,1968,NEC,?,?,?,
1101,256-bit,SRAM (PMOS),"1,536",1969,Intel,"12,000 nm",?,?,
1102,1 Kb,DRAM (PMOS),"3,072",1970,"Intel, Honeywell",?,?,?,
1103,1 Kb,DRAM (PMOS),"3,072",1970,Intel,"8,000 nm",10 mm2,307,
μPD403,1 Kb,DRAM (NMOS),"3,072",1971,NEC,?,?,?,
?,2 Kb,DRAM (PMOS),"6,144",1971,General Instrument,?,12.7 mm2,484,
2102,1 Kb,SRAM (NMOS),"6,144",1972,Intel,?,?,?,
?,8 Kb,DRAM (PMOS),"8,192",1973,IBM,?,18.8 mm2,436,
5101,1 Kb,SRAM (CMOS),"6,144",1974,Intel,?,?,?,
2116,16 Kb,DRAM (NMOS),"16,384",1975,Intel,?,?,?,
2114,4 Kb,SRAM (NMOS),"24,576",1976,Intel,?,?,?,
?,4 Kb,SRAM (CMOS),"24,576",1977,Toshiba,?,?,?,
?,64 Kb,DRAM (NMOS),"65,536",1977,NTT,?,35.4 mm2,1851,
?,64 Kb,DRAM (VMOS),"65,536",1979,Siemens,?,25.2 mm2,2601,
?,16 Kb,SRAM (CMOS),"98,304",1980,"Hitachi, Toshiba",?,?,?,
?,256 Kb,DRAM (NMOS),"262,144",1980,NEC,"1,500 nm",41.6 mm2,6302,
?,256 Kb,DRAM (NMOS),"262,144",1980,NTT,"1,000 nm",34.4 mm2,7620,
?,64 Kb,SRAM (CMOS),"393,216",1980,Matsushita,?,?,?,
?,288 Kb,DRAM,"294,912",1981,IBM,?,25 mm2,"11,800",
?,64 Kb,SRAM (NMOS),"393,216",1982,Intel,"1,500 nm",?,?,
?,256 Kb,SRAM (CMOS),"1,572,864",1984,Toshiba,"1,200 nm",?,?,
?,8 Mb,DRAM,"8,388,608","January 5, 1984",Hitachi,?,?,?,
?,16 Mb,DRAM (CMOS),"16,777,216",1987,NTT,700 nm,148 mm2,"113,400",
?,4 Mb,SRAM (CMOS),"25,165,824",1990,"NEC, Toshiba, Hitachi, Mitsubishi",?,?,?,
?,64 Mb,DRAM (CMOS),"67,108,864",1991,"Matsushita, Mitsubishi, Fujitsu, Toshiba",400 nm,?,?,
KM48SL2000,16 Mb,SDRAM,"16,777,216",1992,Samsung,?,?,?,
?,16 Mb,SRAM (CMOS),"100,663,296",1992,"Fujitsu, NEC",400 nm,?,?,
?,256 Mb,DRAM (CMOS),"268,435,456",1993,"Hitachi, NEC",250 nm,?,?,
?,1 Gb,DRAM,"1,073,741,824","January 9, 1995",NEC,250 nm,?,?,
?,1 Gb,DRAM,"1,073,741,824","January 9, 1995",Hitachi,160 nm,?,?,
?,1 Gb,SDRAM,"1,073,741,824",1996,Mitsubishi,150 nm,?,?,
?,1 Gb,SDRAM (SOI),"1,073,741,824",1997,Hyundai,?,?,?,
?,4 Gb,DRAM (4-bit),"1,073,741,824",1997,NEC,150 nm,?,?,
?,4 Gb,DRAM,"4,294,967,296",1998,Hyundai,?,?,?,
?,8 Gb,SDRAM (DDR3),"8,589,934,592",April 2008,Samsung,50 nm,?,?,
?,16 Gb,SDRAM (DDR3),"17,179,869,184",2008,Samsung,50 nm,?,?,
?,32 Gb,SDRAM (HBM2),"34,359,738,368",2016,Samsung,20 nm,?,?,
?,64 Gb,SDRAM (HBM2),"68,719,476,736",2017,Samsung,20 nm,?,?,
?,128 Gb,SDRAM (DDR4),"137,438,953,472",2018,Samsung,10 nm,?,?,
?,?,RRAM (3DSoC),?,2019,SkyWater Technology,90 nm,?,?,
